#,ML #,Change,PType,St,HOA Type,Year Built,HOA Fee Frequency,Lot Size,HOA Fee,Property Type,Close Date,Original List Price,Close Price,List Price,Original Mortgage Date,Withdrawn Date,Listing Contract Date,Days On Market,Subdivision Name,SqFt,Beds Total,Bath Total,GAR/CP/TCP,Acres,Pool YN,Address,City,Latitude,Longitude,Current Price
1,20185633,N,RESI,Active,None,2000,,Less Than .5 Acre (not Zero),,Residential,,"$17,999 ",,"$17,999 ",,,10/13/2022,6,Ot Mcl,"8,625",2,2,1/1/2001,0.198,No,811  N Walnut ,McLean,35.239814,-100.604718,"$17,999 "
1,20188706,N,RESI,Active,None,1941,,Less Than .5 Acre (not Zero),,Residential,,"$19,316 ",,"$19,316 ",,,10/18/2022,1,Texas Townsite,"1,090",1,1,0/2/2,0.145,No,3025 Texas  Street ,Vernon,34.154179,-99.298245,"$19,316 "
1,20179999,,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$22,900 ",,"$22,900 ",,,10/5/2022,14,College Heights,"1,075",2,1,/0/0,0.21,No,712 Carolina  Street ,Graham,33.103552,-98.578886,"$22,900 "
1,20181528,,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$23,000 ",,"$23,000 ",,,10/7/2022,12,unknown,"1,140",0,0,/0/0,0.132,No,405  N Elm ,Malone,31.918524,-96.892278,"$23,000 "
1,20177197,,RESI,Active,None,1945,,Less Than .5 Acre (not Zero),,Residential,,"$32,500 ",,"$32,500 ",,,10/6/2022,13,Teague,780,2,1,/2/2,0.161,No,1000 Jefferson  Street ,Teague,31.625671,-96.294794,"$32,500 "
1,20183326,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$33,900 ",,"$33,900 ",,,10/10/2022,9,Coggin Add,"1,244",3,1,0/1/1,0.091,No,714 Avenue D ,Brownwood,31.712157,-98.97664,"$33,900 "
1,20176521,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$36,250 ",,"$36,250 ",,,10/1/2022,18,Sanders,"1,340",2,1,/1/1,0.13,No,403  W Mesquite  Street ,Coleman,31.825227,-99.426427,"$36,250 "
1,20177796,,RESI,Active,None,9999,,.5 to < 1 Acre,,Residential,,"$39,500 ",,"$39,500 ",,,10/6/2022,13,Nail Sub,590,3,1,/2/2,0.5,No,1711  E Elliott  Street ,Breckenridge,32.751624,-98.880542,"$39,500 "
1,20184894,N,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$40,000 ",,"$40,000 ",,,10/13/2022,6,Loma Linda,"1,098",3,2,/2/2,0.475,No,110 Fox  Drive ,Whitney,31.968016,-97.375192,"$40,000 "
1,20187190,N,RESI,Active,None,1930,,.5 to < 1 Acre,,Residential,,"$40,000 ",,"$40,000 ",,,10/15/2022,4,WILLIAM,"1,520",1,0,/0/0,0.86,No,00 An County Road 136 ,Elkhart,31.627638,-95.583316,"$40,000 "
1,20185741,N,RESI,Active,None,1975,,.5 to < 1 Acre,,Residential,,"$42,000 ",,"$42,000 ",,,10/13/2022,6,Unknown,884,2,1,1/1/2001,0.995,No,104 County Road 3784 ,Domino,33.245778,-94.10531,"$42,000 "
1,20186680,N,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$42,000 ",,"$42,000 ",,,10/14/2022,5,Tindall,836,1,1,/2/2,0.178,No,604  S Connellee  Avenue ,Eastland,32.396124,-98.823894,"$42,000 "
1,20180563,,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$45,000 ",,"$45,000 ",,,10/6/2022,13,Steiner Donation,"1,109",2,1,1/0/1,0.12,No,304  N Pleasant  Street ,Hillsboro,32.013291,-97.125792,"$45,000 "
1,20184595,N,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$47,000 ",,"$47,000 ",,,10/13/2022,6,City Of Paris,"2,497",5,2,1/0/0,0.358,No,520 6th  Street  SE ,Paris,33.656884,-95.550895,"$47,000 "
1,20176381,,RESI,Active,None,1920,,Less Than .5 Acre (not Zero),,Residential,,"$47,500 ",,"$47,500 ",,,9/30/2022,19,S T Townsend - Cooper,"1,864",3,2,/0/0,0.372,No,1031  SW 1st  Street ,Cooper,33.367382,-95.688403,"$47,500 "
1,20188317,N,RESI,Active,None,1935,,1 to < 3 Acres,,Residential,,"$50,000 ",,"$50,000 ",,,10/17/2022,2,CD TAYLOR,"1,236",2,1,/2/2,1,No,189 Fcr 751 ,Teague,31.638357,-96.322679,"$50,000 "
1,20176911,,RESI,Active,None,1956,,Less Than .5 Acre (not Zero),,Residential,,"$55,000 ",,"$55,000 ",,,10/2/2022,17,Orig Town Of Quinlan,0,0,0,/0/0,0.193,No,108 James  Street ,Quinlan,32.909694,-96.139465,"$55,000 "
1,20187925,N,RESI,Active,None,1938,,Less Than .5 Acre (not Zero),,Residential,,"$58,000 ",,"$58,000 ",,,10/17/2022,2,Whitney Ot,984,2,1,/1/1,0.123,No,100  S San Antonio  Street ,Whitney,31.949153,-97.325706,"$58,000 "
1,20184298,$,RESI,Active,None,1958,,Less Than .5 Acre (not Zero),,Residential,,"$50,000 ",,"$59,000 ",,,10/14/2022,5,Sample & Frizel Stamford,"1,862",3,2,2/1/2002,0.198,No,711 Texas  Street ,Stamford,32.936822,-99.79353,"$59,000 "
1,20179535,,RESI,Active,None,1960,,Less Than .5 Acre (not Zero),,Residential,,"$59,500 ",,"$59,500 ",,,10/5/2022,14,Petrolia,"1,288",2,2,2/0/2,0.24,No,304  W Reed  Street ,Petrolia,34.012344,-98.235673,"$59,500 "
1,20176845,,RESI,Active,None,1979,,Less Than .5 Acre (not Zero),,Residential,,"$61,000 ",,"$61,000 ",,,10/1/2022,18,Stone,840,2,1,/0/0,0.335,No,610  W Seale  Street ,Nacogdoches,31.594904,-94.670704,"$61,000 "
1,20181315,$,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$89,000 ",,"$65,000 ",,,10/7/2022,12,Whitworth 2,"1,614",3,2,0/0/0,0.2,No,737  E Jacob  Street ,Pilot Point,33.397467,-96.947912,"$65,000 "
1,20181284,,RESI,Active,None,1959,,Less Than .5 Acre (not Zero),,Residential,,"$75,000 ",,"$69,000 ",,,10/7/2022,12,Warren,"1,300",3,2,0/0/0,0.145,No,205 7th  Street ,Plainview,34.173176,-101.700502,"$69,000 "
1,20184745,,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$69,000 ",,"$69,000 ",,,10/12/2022,7,none,"1,026",2,1,1/0/1,0.17,No,635 Polk  Street  E ,Paris,33.653669,-95.549794,"$69,000 "
1,20184549,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$70,000 ",,"$70,000 ",,,10/12/2022,7,Waterview,930,2,2,0/2/2,0.164,No,133 Hillside  Drive ,Whitney,31.977138,-97.370815,"$70,000 "
1,20186378,N,RESI,Active,None,1945,,.5 to < 1 Acre,,Residential,,"$70,000 ",,"$70,000 ",,,10/14/2022,5,OT Estland,"2,108",3,1,/0/0,0.511,No,316 East White ,Eastland,32.402929,-98.815013,"$70,000 "
1,20187310,N,RESI,Active,None,1930,,Less Than .5 Acre (not Zero),,Residential,,"$72,000 ",,"$72,000 ",,,10/14/2022,5,Blagg Samuel,"1,732",3,2,/2/2,0.315,No,514 Montgomery ,Sherman,33.632817,-96.605934,"$72,000 "
1,20178794,,RESI,Active,None,1947,,.5 to < 1 Acre,,Residential,,"$75,000 ",,"$75,000 ",,,10/5/2022,14,Central - Cp,847,2,1,/2/2,0.51,No,517  N Avenue D ,Cross Plains,32.12973,-99.164449,"$75,000 "
1,20184147,,RESI,Active,None,1983,,Less Than .5 Acre (not Zero),,Residential,,"$75,000 ",,"$75,000 ",,,10/11/2022,8,Knox Add,"1,480",3,2,/1/2,0.344,No,310  N Berry  Street ,Throckmorton,33.182498,-99.184123,"$75,000 "
1,20184677,,RESI,Active,None,2005,,Less Than .5 Acre (not Zero),,Residential,,"$75,500 ",,"$75,500 ",,,10/12/2022,7,None,"1,624",3,1,/2/2,0.165,No,710 15th  Street ,Paducah,34.014873,-100.308807,"$75,500 "
1,20179237,,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$79,000 ",,"$79,000 ",,,10/5/2022,14,Padgett Heights Add,878,2,1,/2/2,0.138,No,312 Gleese  Street ,Graham,33.110137,-98.576298,"$79,000 "
1,20182129,,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$80,000 ",,"$80,000 ",,,10/8/2022,11,Counts Add,700,0,0,/0/0,0.323,No,550 Dublin  Avenue ,Stephenville,32.213363,-98.208372,"$80,000 "
1,20186893,N,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$82,500 ",,"$82,500 ",,,10/14/2022,5,Spivey,816,2,1,/1/1,0.241,No,127 Gleese  Street ,Graham,33.113971,-98.575915,"$82,500 "
1,20177221,,RESI,Active,None,1900,,Less Than .5 Acre (not Zero),,Residential,,"$85,000 ",,"$85,000 ",,,10/3/2022,16,Campbell Add,792,2,1,/0/0,0.163,No,1115 10th  Street  SE ,Paris,33.651237,-95.545231,"$85,000 "
1,20185990,$,RESI,Active,None,1952,,Less Than .5 Acre (not Zero),,Residential,,"$85,000 ",,"$85,000 ",,,10/13/2022,6,Horn & Stephens Of North Park,"1,125",3,1,/0/0,0.168,No,2781 Grape  Street ,Abilene,32.483494,-99.739065,"$85,000 "
1,20186748,N,RESI,Active,None,1949,,Less Than .5 Acre (not Zero),,Residential,,"$86,500 ",,"$86,500 ",,,10/17/2022,2,H Young Of Campus,864,2,1,0/1/1,0.156,No,1549 Matador  Street ,Abilene,32.429854,-99.756829,"$86,500 "
1,20184410,,RESI,Active,None,1965,,Less Than .5 Acre (not Zero),,Residential,,"$88,900 ",,"$88,900 ",,,10/12/2022,7,Corsicana,"1,344",3,2,0/0/0,0.132,No,714  E 13th  Avenue ,Corsicana,32.090325,-96.453805,"$88,900 "
1,20179274,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$89,500 ",,"$89,500 ",,,10/5/2022,14,Saddler & Martin,"1,404",3,2,/3/3,0.358,No,1814 Neches  Street ,Coleman,31.815576,-99.427379,"$89,500 "
1,20182683,N,RESI,Active,None,1940,,Less Than .5 Acre (not Zero),,Residential,,"$89,500 ",,"$89,500 ",,,10/12/2022,6,Avalon Add,704,2,1,0/0/1,0.221,No,1916 Liberty  Street ,Bonham,33.595185,-96.181431,"$89,500 "
1,20181837,,RESI,Active,Voluntary,1960,Annually,Less Than .5 Acre (not Zero),$40 ,Residential,,"$89,900 ",,"$89,900 ",,,10/7/2022,12,Sandy Shores,"1,400",2,2,/1/1,0.175,No,245 Tawakoni Trail ,East Tawakoni,32.894973,-95.930595,"$89,900 "
1,20179952,,RESI,Active,None,1999,,.5 to < 1 Acre,,Residential,,"$90,000 ",,"$90,000 ",,,10/5/2022,14,Shamrock Shores Sec C,"1,585",3,2,4/2/2006,0.918,No,6931 Donegal  Drive ,Brownwood,31.824949,-99.095096,"$90,000 "
1,20188850,N,RESI,Active,None,2016,,1 to < 3 Acres,,Residential,,"$90,000 ",,"$90,000 ",,,10/18/2022,1,Randolph Yarbrough Surv A-884,602,2,1,1/0/1,1,No,8457 County Road 314  S ,Laneville,32.050395,-94.781255,"$90,000 "
1,20177792,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$91,200 ",,"$91,200 ",,,10/3/2022,16,Quitman Townsites,914,2,1,/0/0,0.17,No,407  N Winnsboro  Street ,Quitman,32.800203,-95.441355,"$91,200 "
1,20183536,,RESI,Active,None,1951,,Less Than .5 Acre (not Zero),,Residential,,"$92,000 ",,"$92,000 ",,,10/10/2022,9,Crescent Heights,866,2,1,1/0/1,0.17,No,1234 Shelton  Street ,Abilene,32.463894,-99.753601,"$92,000 "
1,20178501,,RESI,Active,Mandatory,2017,Annually,Less Than .5 Acre (not Zero),$300 ,Residential,,"$95,000 ",,"$95,000 ",,,10/4/2022,13,Indian Harbor Ph 18,280,1,1,/0/0,0.02,No,3816 Totem  Trail ,Granbury,32.415397,-97.755877,"$95,000 "
1,20185126,,RESI,Active,None,1937,,Less Than .5 Acre (not Zero),,Residential,,"$95,000 ",,"$95,000 ",,,10/10/2022,9,"Northington, Hughes & Sayles","1,374",3,1,/0/0,0.187,No,1334 Chestnut ,Abilene,32.433697,-99.735333,"$95,000 "
1,20189003,N,RESI,Active,None,1945,,Less Than .5 Acre (not Zero),,Residential,,"$97,000 ",,"$97,000 ",,,10/18/2022,1,Crothers,"1,360",3,2,2/2/2002,0.115,No,600  W Marie  Street ,Brady,31.1457,-99.339194,"$97,000 "
1,20187456,N,RESI,Active,None,2008,,.5 to < 1 Acre,,Residential,,"$99,800 ",,"$99,800 ",,,10/16/2022,3,NA,"1,568",3,2,/0/0,0.685,No,5363 County Road 1411 ,Malakoff,32.222081,-96.011439,"$99,800 "
1,20176732,,RESI,Active,Mandatory,1976,Annually,Less Than .5 Acre (not Zero),$100 ,Residential,,"$99,900 ",,"$99,900 ",,,10/2/2022,17,Panorama Estate Add # 2,704,2,1,0/1/1,0.129,No,10099 Flower  Street ,Wills Point,32.856842,-96.04976,"$99,900 "
1,20183477,N,RESI,Active,None,1952,,Less Than .5 Acre (not Zero),,Residential,,"$99,900 ",,"$99,900 ",,,10/13/2022,6,Elmwood West,"1,119",3,1,/0/0,0.192,No,918 Buccaneer  Drive ,Abilene,32.440528,-99.779119,"$99,900 "
1,20188951,N,RESI,Active,None,1920,,Less Than .5 Acre (not Zero),,Residential,,"$99,900 ",,"$99,900 ",,,10/18/2022,1,Hunt,"1,270",3,1,/0/0,0.482,No,621 4th  Street  SW ,Hubbard,31.837719,-96.797802,"$99,900 "
1,20176929,,RESI,Active,None,9999,Other,Less Than .5 Acre (not Zero),,Residential,,"$100,000 ",,"$100,000 ",,,10/1/2022,18,Pats Camp Park Lake,507,2,1,1/1/2002,0.212,No,801 Pat And Herman #48 ,Graford,32.932267,-98.428117,"$100,000 "
1,20184911,,RESI,Active,None,2000,,1 to < 3 Acres,,Residential,,"$100,000 ",,"$100,000 ",,,10/12/2022,7,James Williamson,"1,554",4,3,/2/2,1.743,No,4208 Rock Hill  Road ,Aubrey,33.263928,-97.021775,"$100,000 "
1,20184070,,RESI,Active,None,1932,,Less Than .5 Acre (not Zero),,Residential,,"$104,900 ",,"$104,900 ",,,10/11/2022,8,G W Thompson Of North Park,"1,605",3,1,/1/1,0.467,No,1410 Anson  Avenue ,Abilene,32.487035,-99.736417,"$104,900 "
1,20178166,,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$109,900 ",,"$109,900 ",,,10/4/2022,15,Coggin Add,868,2,1,/0/0,0.063,No,1407 Avenue I ,Brownwood,31.704212,-98.978992,"$109,900 "
1,20188040,N,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$112,000 ",,"$112,000 ",,,10/17/2022,2,Janell,740,2,1,/1/1,0.172,No,904 Calcutta  Street ,Brady,31.120496,-99.342703,"$112,000 "
1,20186400,N,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$114,900 ",,"$114,900 ",,,10/12/2022,7,Mayer Add,932,2,1,0/1/1,0.42,No,109 30th  Street  NW ,Paris,33.66189,-95.590267,"$114,900 "
1,20188723,N,RESI,Active,None,9999,,Less Than .5 Acre (not Zero),,Residential,,"$114,900 ",,"$114,900 ",,,10/12/2022,7,Walnut Hills,"1,151",3,2,0/1/1,0.19,No,280 Walnut Hill  Drive ,Reno,33.664189,-95.467663,"$114,900 "
1,20177730,,RESI,Active,None,1952,,Less Than .5 Acre (not Zero),,Residential,,"$115,000 ",,"$115,000 ",,,10/3/2022,16,SCURLOCK  AND  LORANCE,"1,603",4,2,1/0/1,0.204,No,1007 Cleburne ,Vernon,34.157711,-99.306257,"$115,000 "
1,20180601,,RESI,Active,Voluntary,1994,Annually,Less Than .5 Acre (not Zero),$75 ,Residential,,"$115,000 ",,"$115,000 ",,,10/6/2022,13,Hales Lake Tawakoni Sec 1,616,2,1,/0/0,0.11,No,312 West  Lane ,West Tawakoni,32.9069,-96.037367,"$115,000 "
1,20182439,,RESI,Active,None,1949,,Less Than .5 Acre (not Zero),,Residential,,"$115,000 ",,"$115,000 ",,,10/9/2022,10,Burchill Add,768,2,1,0/1/0,0.161,No,2909 Fitzhugh  Avenue ,Fort Worth,32.717382,-97.283237,"$115,000 "
1,20184877,,RESI,Active,None,1995,,Less Than .5 Acre (not Zero),,Residential,,"$115,000 ",,"$115,000 ",,,10/12/2022,7,Old Town Cooper,"2,040",3,2,/0/0,0.3,No,151 7th  Street ,Cooper,33.375228,-95.69421,"$115,000 "
1,20186466,N,RESI,Active,None,1993,,Less Than .5 Acre (not Zero),,Residential,,"$117,500 ",,"$117,500 ",,,10/14/2022,5,Waco Improv Co,919,3,2,0/0/0,0.106,No,1824  N 16th ,Waco,31.562708,-97.156051,"$117,500 "
